"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2023","25,875","26,275","26,275","25,850","6.09M","-1.52%"
"10/11/2023","26,275","26,300","26,375","26,250","4.93M","-2.23%"
"10/10/2023","26,875","26,875","26,950","26,725","5.27M","0.66%"
"10/09/2023","26,700","26,600","26,875","26,600","5.93M","1.14%"
"10/06/2023","26,400","26,175","26,525","26,175","4.37M","0.96%"
"10/05/2023","26,150","26,575","26,575","26,150","6.64M","-1.60%"
"10/04/2023","26,575","26,675","26,675","26,275","7.28M","-1.57%"
"10/03/2023","27,000","27,925","27,925","27,000","11.70M","-3.31%"
"10/02/2023","27,925","28,225","28,350","27,850","3.40M","-1.15%"
"09/29/2023","28,250","28,400","28,475","28,100","3.86M","-0.18%"
"09/27/2023","28,300","27,700","28,300","27,475","3.64M","1.98%"
"09/26/2023","27,750","28,275","28,400","27,625","3.94M","-1.77%"
"09/25/2023","28,250","28,350","28,375","28,150","3.74M","-0.35%"
"09/22/2023","28,350","28,250","28,525","28,175","2.77M","0.09%"
"09/21/2023","28,325","28,475","28,475","28,250","2.42M","-0.61%"
"09/20/2023","28,500","28,400","28,775","28,400","5.25M","0.62%"
"09/19/2023","28,325","28,150","28,450","28,025","3.38M","0.80%"
"09/18/2023","28,100","28,375","28,600","28,100","4.14M","-1.14%"
"09/15/2023","28,425","27,400","28,425","27,250","13.90M","3.74%"
"09/14/2023","27,400","27,325","27,600","27,325","6.72M","0.83%"
"09/13/2023","27,175","27,150","27,275","27,075","4.13M","0.37%"
"09/12/2023","27,075","26,950","27,250","26,925","2.66M","0.65%"
"09/11/2023","26,900","27,325","27,350","26,850","3.04M","-1.47%"
"09/08/2023","27,300","27,125","27,475","26,975","3.16M","0.55%"
"09/07/2023","27,150","27,400","27,425","26,950","3.66M","-0.91%"
"09/06/2023","27,400","27,400","27,525","27,350","5.84M","0.74%"
"09/05/2023","27,200","26,850","27,350","26,850","3.84M","1.40%"
"09/04/2023","26,825","26,425","26,875","26,425","3.26M","1.80%"
"09/01/2023","26,350","26,000","26,425","26,000","2.24M","1.35%"
"08/31/2023","26,000","26,150","26,250","26,000","4.10M","-0.57%"
"08/30/2023","26,150","26,350","26,400","26,150","2.49M","-0.76%"
"08/29/2023","26,350","26,500","26,600","26,300","1.93M","-0.19%"
"08/28/2023","26,400","26,125","26,600","26,125","3.06M","1.34%"
"08/25/2023","26,050","26,700","26,725","25,975","8.53M","-2.43%"
"08/24/2023","26,700","27,775","27,775","26,700","12.39M","-4.22%"
"08/23/2023","27,875","27,850","28,150","27,800","4.54M","1.00%"
"08/22/2023","27,600","27,225","27,650","27,150","4.34M","1.94%"
"08/21/2023","27,075","26,800","27,300","26,800","2.44M","1.03%"
"08/18/2023","26,800","27,325","27,375","26,800","5.08M","-2.55%"
"08/16/2023","27,500","27,375","27,500","27,175","2.74M","0.46%"
"08/15/2023","27,375","27,500","27,500","27,150","1.79M","-0.27%"
"08/14/2023","27,450","27,200","27,450","26,850","3.16M","1.29%"
"08/11/2023","27,100","27,600","27,625","26,800","4.27M","-1.81%"
"08/10/2023","27,600","27,850","27,975","27,600","3.70M","-0.54%"
"08/09/2023","27,750","27,575","27,850","27,575","3.73M","0.82%"
"08/08/2023","27,525","27,525","27,700","27,500","2.35M","0.36%"
"08/07/2023","27,425","27,525","27,675","27,300","4.58M","0.37%"
"08/04/2023","27,325","27,250","27,725","27,250","3.88M","0.64%"
