"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2024","2,410","2,430","2,460","2,330","54.59M","-0.82%"
"01/15/2024","2,430","2,480","2,490","2,420","28.01M","-1.22%"
"01/12/2024","2,460","2,430","2,460","2,400","25.97M","1.23%"
"01/11/2024","2,430","2,480","2,510","2,430","32.87M","-1.62%"
"01/10/2024","2,470","2,510","2,560","2,430","43.05M","-1.59%"
"01/09/2024","2,510","2,720","2,720","2,510","87.29M","-7.38%"
"01/08/2024","2,710","2,830","2,910","2,670","90.76M","-3.56%"
"01/05/2024","2,810","2,710","2,880","2,700","79.65M","3.69%"
"01/04/2024","2,710","2,670","2,730","2,630","28.86M","1.50%"
"01/03/2024","2,670","2,680","2,730","2,620","22.31M","-0.74%"
"01/02/2024","2,690","2,700","2,720","2,630","23.43M","-0.37%"
"12/29/2023","2,700","2,700","2,740","2,670","19.49M","0.37%"
"12/28/2023","2,690","2,730","2,770","2,670","27.21M","0.37%"
"12/27/2023","2,680","2,750","2,830","2,650","55.00M","-1.47%"
"12/22/2023","2,720","2,600","2,760","2,580","97.66M","5.84%"
"12/21/2023","2,570","2,600","2,620","2,490","64.01M","0.00%"
"12/20/2023","2,570","2,310","2,710","2,310","138.03M","12.23%"
"12/19/2023","2,290","2,310","2,310","2,260","20.70M","0.00%"
"12/18/2023","2,290","2,320","2,350","2,260","37.74M","-1.29%"
"12/15/2023","2,320","2,350","2,420","2,320","242.64M","-0.43%"
"12/14/2023","2,330","2,380","2,420","2,270","37.98M","1.75%"
"12/13/2023","2,290","2,350","2,360","2,270","21.13M","-2.14%"
"12/12/2023","2,340","2,360","2,410","2,330","23.17M","-1.27%"
"12/11/2023","2,370","2,450","2,450","2,330","26.11M","-4.05%"
"12/08/2023","2,470","2,540","2,570","2,460","34.74M","-2.76%"
"12/07/2023","2,540","2,500","2,540","2,420","46.25M","1.60%"
"12/06/2023","2,500","2,520","2,570","2,470","32.99M","-0.79%"
"12/05/2023","2,520","2,600","2,610","2,500","34.93M","-4.55%"
"12/04/2023","2,640","2,670","2,740","2,640","78.07M","1.93%"
"12/01/2023","2,590","2,510","2,670","2,510","65.38M","2.37%"
"11/30/2023","2,530","2,470","2,530","2,400","271.58M","2.85%"
"11/29/2023","2,460","2,440","2,520","2,430","96.12M","2.93%"
"11/28/2023","2,390","2,260","2,420","2,260","104.07M","6.22%"
"11/27/2023","2,250","2,300","2,320","2,230","49.57M","-0.88%"
"11/24/2023","2,270","2,250","2,300","2,230","23.77M","0.89%"
"11/23/2023","2,250","2,060","2,290","2,060","99.44M","7.14%"
"11/22/2023","2,100","2,410","2,430","2,080","158.83M","-12.50%"
"11/21/2023","2,400","2,350","2,430","2,330","29.28M","2.13%"
"11/20/2023","2,350","2,360","2,390","2,310","26.27M","-0.42%"
"11/17/2023","2,360","2,440","2,440","2,330","26.81M","-2.48%"
"11/16/2023","2,420","2,460","2,460","2,380","21.55M","-1.63%"
"11/15/2023","2,460","2,370","2,480","2,370","35.88M","4.68%"
"11/14/2023","2,350","2,270","2,370","2,270","28.56M","3.98%"
"11/13/2023","2,260","2,260","2,300","2,220","34.87M","0.00%"
"11/10/2023","2,260","2,300","2,330","2,250","18.24M","-1.74%"
"11/09/2023","2,300","2,360","2,390","2,300","20.84M","-2.54%"
"11/08/2023","2,360","2,490","2,490","2,360","25.04M","-5.98%"
"11/07/2023","2,510","2,510","2,520","2,420","35.32M","0.00%"
"11/06/2023","2,510","2,470","2,570","2,470","25.89M","2.45%"
"11/03/2023","2,450","2,420","2,490","2,390","31.50M","2.08%"
"11/02/2023","2,400","2,310","2,420","2,310","36.08M","4.35%"
"11/01/2023","2,300","2,240","2,330","2,210","78.64M","3.14%"
"10/31/2023","2,230","2,340","2,350","2,230","33.07M","-4.70%"
"10/30/2023","2,340","2,350","2,370","2,250","56.57M","0.43%"
"10/27/2023","2,330","2,310","2,360","2,280","38.33M","1.30%"
"10/26/2023","2,300","2,420","2,440","2,280","57.74M","-4.96%"
"10/25/2023","2,420","2,390","2,450","2,350","37.76M","1.68%"
"10/24/2023","2,380","2,380","2,420","2,360","27.20M","0.00%"
"10/23/2023","2,380","2,480","2,490","2,380","34.26M","-4.42%"
"10/20/2023","2,490","2,490","2,510","2,440","27.82M","0.40%"
"10/19/2023","2,480","2,520","2,550","2,440","41.86M","-0.40%"
"10/18/2023","2,490","2,600","2,610","2,420","78.21M","-3.49%"
"10/17/2023","2,580","2,600","2,630","2,570","24.63M","-0.77%"
"10/16/2023","2,600","2,610","2,670","2,540","31.20M","1.96%"
"10/13/2023","2,550","2,520","2,570","2,460","40.89M","0.00%"
"10/12/2023","2,550","2,570","2,630","2,490","47.46M","0.39%"
"10/11/2023","2,540","2,670","2,670","2,530","27.22M","-4.15%"
"10/10/2023","2,650","2,620","2,670","2,600","43.39M","2.71%"
"10/09/2023","2,580","2,460","2,620","2,460","49.93M","7.05%"
"10/06/2023","2,410","2,420","2,470","2,380","32.15M","-0.82%"
