"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2024","3,870","3,990","4,000","3,850","21.53M","-3.01%"
"10/29/2024","3,990","4,020","4,040","3,960","10.01M","-0.75%"
"10/28/2024","4,020","4,080","4,120","4,010","7.05M","-1.23%"
"10/25/2024","4,070","4,120","4,160","4,070","5.24M","-1.21%"
"10/24/2024","4,120","4,200","4,200","4,120","7.04M","-1.90%"
"10/23/2024","4,200","4,260","4,260","4,190","7.86M","-1.41%"
"10/22/2024","4,260","4,260","4,280","4,150","14.26M","0.24%"
"10/21/2024","4,250","4,130","4,350","4,130","26.33M","3.16%"
"10/18/2024","4,120","4,110","4,130","4,050","23.07M","0.00%"
"10/17/2024","4,120","4,130","4,160","4,100","10.89M","-0.24%"
"10/16/2024","4,130","4,170","4,180","4,120","9.16M","-0.96%"
"10/15/2024","4,170","4,220","4,220","4,120","10.85M","-0.95%"
"10/14/2024","4,210","4,190","4,240","4,130","15.42M","1.20%"
"10/11/2024","4,160","4,160","4,200","4,140","9.84M","0.48%"
"10/10/2024","4,140","4,130","4,180","4,110","20.09M","-0.24%"
"10/09/2024","4,150","4,120","4,160","4,030","24.21M","0.48%"
"10/08/2024","4,130","4,390","4,410","4,080","43.34M","-6.14%"
"10/07/2024","4,400","4,310","4,430","4,300","27.22M","2.33%"
"10/04/2024","4,300","4,290","4,320","4,220","26.53M","-0.46%"
"10/03/2024","4,320","4,350","4,410","4,280","30.92M","0.47%"
"10/02/2024","4,300","4,210","4,300","4,150","40.48M","1.90%"
"10/01/2024","4,220","4,120","4,230","4,090","43.47M","3.43%"
"09/30/2024","4,080","4,060","4,110","3,960","42.12M","1.24%"
"09/27/2024","4,030","4,050","4,080","3,990","28.55M","0.25%"
"09/26/2024","4,020","3,980","4,030","3,910","38.51M","1.26%"
"09/25/2024","3,970","3,820","3,990","3,800","75.09M","4.75%"
"09/24/2024","3,790","3,750","3,800","3,710","11.49M","1.07%"
"09/23/2024","3,750","3,720","3,780","3,700","13.91M","1.35%"
"09/20/2024","3,700","3,720","3,760","3,700","15.01M","0.27%"
"09/19/2024","3,690","3,680","3,720","3,670","7.43M","0.27%"
"09/18/2024","3,680","3,710","3,720","3,680","9.47M","-1.08%"
"09/17/2024","3,720","3,700","3,750","3,680","13.27M","1.36%"
"09/13/2024","3,670","3,710","3,720","3,650","9.42M","-0.54%"
"09/12/2024","3,690","3,660","3,720","3,660","13.75M","1.65%"
"09/11/2024","3,630","3,630","3,670","3,620","8.65M","0.00%"
"09/10/2024","3,630","3,670","3,690","3,630","8.65M","-0.55%"
"09/09/2024","3,650","3,680","3,720","3,630","13.12M","-0.82%"
"09/06/2024","3,680","3,680","3,730","3,680","7.55M","0.27%"
"09/05/2024","3,670","3,690","3,700","3,650","10.62M","-0.54%"
"09/04/2024","3,690","3,720","3,770","3,690","20.27M","-1.60%"
"09/03/2024","3,750","3,810","3,830","3,750","8.55M","-1.32%"
"09/02/2024","3,800","3,800","3,840","3,790","16.52M","-1.04%"
"08/30/2024","3,840","3,750","3,840","3,730","51.09M","3.23%"
"08/29/2024","3,720","3,770","3,770","3,710","16.19M","-1.06%"
"08/28/2024","3,760","3,810","3,840","3,750","17.70M","-0.27%"
"08/27/2024","3,770","3,810","3,830","3,750","14.64M","-1.05%"
"08/26/2024","3,810","3,800","3,840","3,790","17.04M","0.26%"
"08/23/2024","3,800","3,760","3,810","3,750","15.01M","1.06%"
"08/22/2024","3,760","3,830","3,830","3,750","18.19M","-1.83%"
"08/21/2024","3,830","3,890","3,900","3,830","19.42M","-0.78%"
"08/20/2024","3,860","3,860","3,910","3,850","23.31M","1.31%"
"08/19/2024","3,810","3,870","3,880","3,800","12.22M","-1.30%"
"08/16/2024","3,860","3,860","3,910","3,840","35.92M","0.78%"
"08/15/2024","3,830","3,810","3,860","3,760","27.60M","0.52%"
"08/14/2024","3,810","3,880","3,910","3,810","13.57M","-1.55%"
"08/13/2024","3,870","3,930","3,940","3,860","17.83M","0.52%"
"08/12/2024","3,850","3,720","3,850","3,720","18.41M","4.62%"
"08/09/2024","3,680","3,680","3,710","3,660","8.79M","1.94%"
"08/08/2024","3,610","3,650","3,670","3,610","6.81M","-1.10%"
"08/07/2024","3,650","3,670","3,720","3,650","7.64M","0.00%"
"08/06/2024","3,650","3,650","3,680","3,620","9.60M","0.55%"
"08/05/2024","3,630","3,700","3,730","3,610","24.58M","-3.71%"
"08/02/2024","3,770","3,800","3,820","3,760","12.44M","-1.57%"
"08/01/2024","3,830","3,800","3,840","3,760","19.16M","2.41%"
"07/31/2024","3,740","3,700","3,770","3,680","13.86M","1.63%"
"07/30/2024","3,680","3,730","3,730","3,680","12.99M","-2.13%"
"07/29/2024","3,760","3,750","3,810","3,740","9.60M","0.53%"
"07/26/2024","3,740","3,710","3,760","3,700","5.13M","1.36%"
"07/25/2024","3,690","3,740","3,740","3,670","11.59M","-1.34%"
"07/24/2024","3,740","3,740","3,780","3,720","5.48M","0.00%"
"07/23/2024","3,740","3,780","3,810","3,730","12.71M","-1.06%"
"07/22/2024","3,780","3,840","3,840","3,770","9.95M","-1.56%"
"07/19/2024","3,840","3,810","3,840","3,800","6.31M","0.26%"
"07/18/2024","3,830","3,860","3,860","3,800","8.97M","-0.78%"
"07/17/2024","3,860","3,840","3,890","3,800","17.82M","1.58%"
"07/16/2024","3,800","3,700","3,840","3,700","25.68M","2.98%"
"07/15/2024","3,690","3,750","3,780","3,680","21.97M","-1.60%"
"07/12/2024","3,750","3,800","3,840","3,750","20.33M","-1.32%"
"07/11/2024","3,800","3,970","3,980","3,780","47.00M","-4.52%"
"07/10/2024","3,980","4,000","4,030","3,980","14.93M","-0.50%"
"07/09/2024","4,000","4,060","4,070","4,000","21.22M","-1.72%"
"07/08/2024","4,070","4,060","4,110","4,010","16.39M","0.74%"
"07/05/2024","4,040","4,040","4,080","4,030","8.78M","0.00%"
"07/04/2024","4,040","4,070","4,140","4,030","18.75M","0.25%"
"07/03/2024","4,030","4,060","4,090","3,990","22.19M","-1.71%"
"07/02/2024","4,100","4,220","4,240","4,080","17.23M","-2.38%"
"07/01/2024","4,200","4,150","4,260","4,110","13.19M","-0.47%"
"06/28/2024","4,220","4,030","4,280","4,030","27.99M","5.50%"
"06/27/2024","4,000","4,010","4,020","3,980","10.84M","-0.74%"
"06/26/2024","4,030","4,010","4,050","3,990","9.94M","0.50%"
"06/25/2024","4,010","4,090","4,100","4,010","13.69M","-1.72%"
"06/24/2024","4,080","4,220","4,240","4,060","13.36M","-3.32%"
"06/21/2024","4,220","4,100","4,280","4,090","17.48M","3.43%"
"06/20/2024","4,080","4,140","4,160","4,040","9.86M","-0.97%"
"06/19/2024","4,120","4,010","4,160","3,970","16.07M","3.19%"
"06/14/2024","3,993","4,052","4,131","3,973","15.78M","-1.46%"
"06/13/2024","4,052","4,131","4,210","4,052","10.62M","-1.20%"
"06/12/2024","4,101","4,239","4,269","4,072","20.60M","-3.26%"
"06/11/2024","4,239","4,259","4,289","4,190","20.87M","-0.46%"
"06/10/2024","4,259","4,436","4,446","4,249","15.32M","-2.92%"
"06/07/2024","4,387","4,456","4,535","4,377","15.67M","-0.45%"
"06/06/2024","4,407","4,427","4,486","4,387","16.81M","0.90%"
"06/05/2024","4,367","4,594","4,604","4,358","28.25M","-5.54%"
"06/04/2024","4,624","4,811","4,870","4,614","27.10M","-3.89%"
"06/03/2024","4,811","4,900","4,919","4,801","15.92M","-1.81%"
"05/31/2024","4,900","4,910","5,028","4,841","13.00M","-0.20%"
"05/30/2024","4,910","5,077","5,077","4,900","12.61M","-4.23%"
"05/29/2024","5,126","5,028","5,225","4,979","23.17M","1.96%"
"05/28/2024","5,028","4,742","5,077","4,742","26.66M","6.03%"
"05/27/2024","4,742","4,801","4,831","4,653","29.62M","-1.84%"
"05/22/2024","4,831","4,979","4,979","4,781","19.84M","-2.97%"
"05/21/2024","4,979","5,077","5,102","4,929","32.88M","-1.94%"
"05/20/2024","5,077","4,821","5,126","4,821","99.30M","7.52%"
"05/17/2024","4,722","4,505","4,880","4,476","60.77M","6.92%"
"05/16/2024","4,417","4,496","4,545","4,407","14.44M","-0.22%"
"05/15/2024","4,427","4,427","4,476","4,358","13.03M","0.00%"
"05/14/2024","4,427","4,446","4,486","4,367","10.95M","-0.44%"
"05/13/2024","4,446","4,515","4,515","4,367","9.26M","-1.53%"
"05/08/2024","4,515","4,594","4,604","4,456","15.63M","-1.51%"
"05/07/2024","4,584","4,239","4,624","4,239","44.24M","8.39%"
"05/06/2024","4,229","4,062","4,259","4,062","11.78M","5.41%"
"05/03/2024","4,012","4,062","4,091","3,983","5.58M","-1.21%"
"05/02/2024","4,062","4,190","4,190","4,022","8.16M","-3.06%"
"04/30/2024","4,190","4,141","4,210","4,101","10.84M","1.67%"
"04/29/2024","4,121","4,032","4,131","4,022","6.94M","2.20%"
"04/26/2024","4,032","4,062","4,072","3,953","11.34M","-0.24%"
"04/25/2024","4,042","4,150","4,180","3,993","19.44M","-2.61%"
"04/24/2024","4,150","4,289","4,289","4,150","16.50M","-3.22%"
"04/23/2024","4,289","4,377","4,397","4,279","21.71M","-1.36%"
"04/22/2024","4,348","4,387","4,466","4,338","35.39M","0.23%"
"04/19/2024","4,338","4,279","4,348","4,121","34.64M","2.09%"
"04/18/2024","4,249","4,239","4,328","4,170","20.67M","0.94%"
"04/17/2024","4,210","4,358","4,387","4,190","30.20M","-2.95%"
"04/16/2024","4,338","4,072","4,387","4,062","49.11M","7.32%"
"04/05/2024","4,042","4,062","4,081","4,022","7.59M","-0.24%"
"04/04/2024","4,052","4,042","4,121","4,012","9.46M","0.98%"
"04/03/2024","4,012","4,072","4,101","4,003","7.54M","-1.45%"
"04/02/2024","4,072","4,003","4,081","3,943","11.43M","1.47%"
"04/01/2024","4,012","4,022","4,052","3,924","10.29M","0.00%"
"03/28/2024","4,012","4,012","4,022","3,973","6.07M","0.00%"
"03/27/2024","4,012","3,993","4,032","3,963","8.23M","0.25%"
"03/26/2024","4,003","4,052","4,052","3,993","9.36M","-0.98%"
"03/25/2024","4,042","4,101","4,121","3,973","13.39M","-1.20%"
"03/22/2024","4,091","4,210","4,210","4,062","14.57M","-2.58%"
"03/21/2024","4,200","4,072","4,239","4,072","18.78M","3.65%"
"03/20/2024","4,052","4,121","4,141","4,032","11.38M","-1.67%"
"03/19/2024","4,121","4,160","4,190","4,081","12.24M","-0.95%"
"03/18/2024","4,160","4,150","4,229","4,072","10.92M","0.24%"
"03/15/2024","4,150","4,190","4,249","4,131","16.78M","-0.94%"
"03/14/2024","4,190","4,239","4,289","4,150","17.53M","-1.16%"
"03/13/2024","4,239","3,983","4,259","3,983","38.50M","7.77%"
"03/08/2024","3,934","4,052","4,072","3,884","22.11M","-1.97%"
"03/07/2024","4,012","4,003","4,052","3,993","6.06M","0.25%"
"03/06/2024","4,003","4,101","4,101","3,993","15.51M","-2.64%"
"03/05/2024","4,111","4,062","4,160","4,042","17.43M","1.96%"
"03/04/2024","4,032","4,042","4,081","4,012","7.51M","-0.24%"
"03/01/2024","4,042","4,022","4,101","3,983","20.10M","1.23%"
"02/29/2024","3,993","4,052","4,062","3,953","15.78M","-0.25%"
"02/28/2024","4,003","3,953","4,062","3,874","26.67M","2.01%"
"02/27/2024","3,924","3,727","3,963","3,677","28.16M","3.92%"
"02/26/2024","3,776","3,934","3,934","3,766","14.95M","-3.04%"
"02/23/2024","3,894","3,914","3,973","3,884","23.14M","1.54%"
"02/22/2024","3,835","3,697","3,865","3,697","26.09M","5.14%"
"02/21/2024","3,648","3,727","3,727","3,628","17.55M","-2.12%"
"02/20/2024","3,727","3,805","3,865","3,707","20.44M","-1.82%"
"02/19/2024","3,796","3,589","3,835","3,559","39.18M","4.34%"
"02/16/2024","3,638","3,894","3,943","3,598","53.39M","-7.75%"
"02/15/2024","3,943","4,062","4,170","3,934","32.57M","-1.23%"
"02/13/2024","3,993","4,052","4,121","3,983","33.39M","-0.25%"
"02/12/2024","4,003","3,687","4,101","3,677","60.72M","10.93%"
"02/07/2024","3,608","3,638","3,677","3,569","22.05M","-0.27%"
"02/06/2024","3,618","3,766","3,786","3,618","44.69M","-4.18%"
"02/05/2024","3,776","3,835","3,865","3,776","5.75M","-1.54%"
"02/02/2024","3,835","3,865","3,884","3,786","9.17M","-1.02%"
"02/01/2024","3,874","3,815","3,904","3,815","7.31M","1.55%"
"01/31/2024","3,815","3,845","3,943","3,815","5.85M","-0.51%"
"01/30/2024","3,835","3,825","3,884","3,756","7.22M","0.78%"
"01/29/2024","3,805","3,924","3,943","3,776","14.14M","-3.01%"
"01/26/2024","3,924","4,052","4,062","3,924","6.42M","-3.16%"
"01/25/2024","4,052","4,022","4,111","3,973","14.91M","1.48%"
"01/24/2024","3,993","3,934","4,012","3,865","13.48M","2.79%"
"01/23/2024","3,884","3,983","4,032","3,855","21.47M","-2.48%"
"01/22/2024","3,983","4,032","4,042","3,973","9.27M","-0.98%"
"01/19/2024","4,022","4,091","4,131","4,022","11.96M","-1.21%"
"01/18/2024","4,072","4,052","4,091","4,052","5.20M","0.73%"
"01/17/2024","4,042","4,091","4,121","4,032","9.81M","-1.20%"
"01/16/2024","4,091","4,091","4,121","4,081","7.51M","0.00%"
"01/15/2024","4,091","4,121","4,150","4,081","7.84M","-0.72%"
"01/12/2024","4,121","4,062","4,131","4,052","5.14M","1.95%"
"01/11/2024","4,042","4,101","4,121","4,042","13.81M","-1.44%"
"01/10/2024","4,101","4,091","4,170","4,091","6.63M","0.24%"
"01/09/2024","4,091","4,229","4,229","4,081","18.93M","-3.04%"
"01/08/2024","4,219","4,259","4,289","4,219","5.14M","-0.70%"
"01/05/2024","4,249","4,328","4,338","4,229","8.52M","-1.82%"
"01/04/2024","4,328","4,358","4,387","4,279","8.56M","-0.68%"
"01/03/2024","4,358","4,348","4,397","4,308","6.77M","0.00%"
"01/02/2024","4,358","4,259","4,387","4,249","9.18M","2.55%"
"12/29/2023","4,249","4,298","4,308","4,249","4.27M","-1.37%"
"12/28/2023","4,308","4,308","4,358","4,289","10.03M","0.69%"
"12/27/2023","4,279","4,190","4,328","4,190","11.28M","1.64%"
"12/22/2023","4,210","4,210","4,269","4,200","6.29M","0.47%"
"12/21/2023","4,190","4,180","4,229","4,160","7.25M","0.24%"
"12/20/2023","4,180","4,150","4,269","4,131","20.71M","1.68%"
"12/19/2023","4,111","4,091","4,170","4,062","15.24M","-0.95%"
"12/18/2023","4,150","4,160","4,160","4,111","5.53M","-0.24%"
"12/15/2023","4,160","4,141","4,180","4,091","16.00M","1.20%"
"12/14/2023","4,111","3,973","4,160","3,973","26.92M","3.73%"
"12/13/2023","3,963","4,160","4,170","3,953","25.36M","-4.74%"
"12/12/2023","4,160","4,141","4,190","4,121","10.13M","0.72%"
"12/11/2023","4,131","4,298","4,308","4,131","23.95M","-3.90%"
"12/08/2023","4,298","4,249","4,367","4,249","21.49M","1.16%"
"12/07/2023","4,249","4,397","4,397","4,210","33.89M","-3.15%"
"12/06/2023","4,387","4,259","4,427","4,239","39.89M","3.01%"
"12/05/2023","4,259","4,348","4,358","4,259","33.10M","-2.04%"
"12/04/2023","4,348","4,348","4,446","4,289","42.25M","0.23%"
"12/01/2023","4,338","4,466","4,476","4,308","62.76M","-2.22%"
"11/30/2023","4,436","4,653","4,673","4,436","256.36M","-4.05%"
"11/29/2023","4,624","4,387","4,683","4,367","31.97M","7.08%"
"11/28/2023","4,318","4,456","4,476","4,298","21.92M","-3.10%"
"11/27/2023","4,456","4,525","4,565","4,456","7.82M","-1.53%"
"11/24/2023","4,525","4,535","4,565","4,515","4.42M","0.00%"
"11/23/2023","4,525","4,486","4,545","4,446","11.13M","0.88%"
"11/22/2023","4,486","4,594","4,594","4,466","5.25M","-2.15%"
"11/21/2023","4,584","4,584","4,614","4,555","3.38M","0.00%"
"11/20/2023","4,584","4,545","4,614","4,515","17.76M","1.31%"
"11/17/2023","4,525","4,634","4,643","4,525","10.39M","-2.34%"
"11/16/2023","4,634","4,496","4,634","4,496","9.51M","3.30%"
"11/15/2023","4,486","4,634","4,663","4,486","26.21M","-4.81%"
"11/14/2023","4,712","4,594","4,762","4,545","14.43M","3.02%"
"11/13/2023","4,574","4,574","4,653","4,417","22.55M","0.00%"
"11/10/2023","4,574","4,634","4,673","4,574","8.83M","-1.28%"
"11/09/2023","4,634","4,752","4,781","4,634","9.16M","-2.49%"
"11/08/2023","4,752","4,841","4,850","4,742","4.59M","-2.43%"
"11/07/2023","4,870","4,850","4,880","4,791","5.91M","0.41%"
"11/06/2023","4,850","4,890","4,929","4,841","5.34M","-0.20%"
"11/03/2023","4,860","4,781","4,910","4,781","6.01M","1.65%"
"11/02/2023","4,781","4,791","4,831","4,742","12.50M","0.21%"
"11/01/2023","4,772","4,831","4,880","4,742","11.05M","-2.22%"
"10/31/2023","4,880","5,176","5,200","4,850","15.86M","-5.26%"
"10/30/2023","5,151","5,102","5,176","5,028","10.95M","1.95%"
"10/27/2023","5,053","5,398","5,398","5,028","14.54M","-5.09%"
"10/26/2023","5,324","5,447","5,447","5,324","4.26M","-2.26%"
"10/25/2023","5,447","5,644","5,669","5,447","5.04M","-2.64%"
"10/24/2023","5,595","5,496","5,595","5,496","2.18M","1.79%"
"10/23/2023","5,496","5,669","5,693","5,472","3.53M","-3.04%"
"10/20/2023","5,669","5,718","5,743","5,619","3.25M","-0.43%"
"10/19/2023","5,693","5,669","5,693","5,521","10.89M","0.43%"
"10/18/2023","5,669","5,521","5,669","5,521","8.32M","1.77%"
"10/17/2023","5,570","5,472","5,570","5,472","3.22M","2.26%"
"10/16/2023","5,447","5,373","5,496","5,348","3.99M","1.84%"
"10/13/2023","5,348","5,422","5,496","5,348","4.11M","-0.91%"
"10/12/2023","5,398","5,521","5,545","5,398","4.25M","-1.35%"
"10/11/2023","5,472","5,570","5,619","5,472","6.57M","-1.33%"
"10/10/2023","5,545","5,644","5,644","5,521","4.35M","-0.88%"
"10/09/2023","5,595","5,496","5,644","5,472","6.97M","2.71%"
"10/06/2023","5,447","5,299","5,472","5,299","3.47M","3.27%"
"10/05/2023","5,274","5,324","5,398","5,274","5.15M","-1.38%"
"10/04/2023","5,348","5,496","5,521","5,299","9.78M","-2.69%"
"10/03/2023","5,496","5,496","5,545","5,373","12.09M","0.00%"
"10/02/2023","5,496","5,644","5,644","5,472","6.23M","-1.33%"
"09/29/2023","5,570","5,644","5,644","5,521","7.04M","0.44%"
"09/27/2023","5,545","5,496","5,619","5,472","7.43M","0.90%"
"09/26/2023","5,496","5,595","5,644","5,447","9.39M","-1.76%"
"09/25/2023","5,595","5,619","5,669","5,570","6.06M","-0.44%"
"09/22/2023","5,619","5,595","5,669","5,570","5.10M","0.44%"
"09/21/2023","5,595","5,669","5,693","5,570","7.97M","-0.87%"
"09/20/2023","5,644","5,669","5,767","5,644","8.66M","-0.43%"
"09/19/2023","5,669","5,841","5,841","5,644","6.85M","-2.54%"
"09/18/2023","5,817","5,817","5,841","5,767","4.79M","0.00%"
"09/15/2023","5,817","5,817","5,866","5,767","25.03M","0.85%"
"09/14/2023","5,767","5,743","5,841","5,718","7.33M","0.86%"
"09/13/2023","5,718","5,792","5,841","5,595","15.63M","-1.28%"
"09/12/2023","5,792","5,841","5,891","5,767","5.59M","0.00%"
"09/11/2023","5,792","5,792","5,841","5,718","10.41M","0.00%"
"09/08/2023","5,792","5,915","5,915","5,792","6.34M","-2.08%"
"09/07/2023","5,915","5,915","5,915","5,841","8.40M","0.00%"
"09/06/2023","5,915","5,915","5,964","5,891","11.20M","0.00%"
"09/05/2023","5,915","5,915","5,940","5,891","11.89M","0.42%"
"09/04/2023","5,891","5,915","5,989","5,891","9.12M","0.84%"
"09/01/2023","5,841","5,817","5,866","5,743","6.04M","0.42%"
"08/31/2023","5,817","5,866","5,915","5,718","25.31M","-0.84%"
"08/30/2023","5,866","5,915","5,940","5,866","6.98M","-0.83%"
"08/29/2023","5,915","5,940","5,940","5,891","5.97M","0.42%"
"08/28/2023","5,891","5,915","5,964","5,866","11.64M","0.42%"
"08/25/2023","5,866","5,891","5,915","5,841","12.66M","-0.42%"
"08/24/2023","5,891","5,940","5,940","5,891","8.52M","0.00%"
"08/23/2023","5,891","6,014","6,014","5,891","18.45M","-1.24%"
"08/22/2023","5,964","5,964","6,014","5,866","13.92M","0.42%"
"08/21/2023","5,940","5,989","6,038","5,940","7.74M","-0.82%"
"08/18/2023","5,989","6,112","6,112","5,964","7.55M","-1.22%"
"08/16/2023","6,063","6,260","6,285","6,014","23.97M","-3.53%"
"08/15/2023","6,285","6,334","6,334","6,260","11.68M","-0.39%"
"08/14/2023","6,310","6,236","6,359","6,162","32.39M","1.19%"
"08/11/2023","6,236","6,285","6,285","6,236","6.37M","-0.78%"
"08/10/2023","6,285","6,359","6,383","6,285","6.84M","-1.16%"
"08/09/2023","6,359","6,433","6,482","6,334","6.98M","-1.15%"
"08/08/2023","6,433","6,581","6,605","6,433","6.19M","-2.25%"
"08/07/2023","6,581","6,679","6,679","6,556","3.22M","-1.48%"
"08/04/2023","6,679","6,679","6,753","6,679","1.83M","0.00%"
"08/03/2023","6,679","6,778","6,778","6,655","3.05M","-1.45%"
"08/02/2023","6,778","6,802","6,802","6,679","4.56M","-0.36%"
"08/01/2023","6,802","6,778","6,901","6,778","7.91M","0.36%"
"07/31/2023","6,778","6,729","6,802","6,679","5.26M","0.73%"
"07/28/2023","6,729","6,556","6,729","6,507","5.06M","2.63%"
"07/27/2023","6,556","6,605","6,630","6,507","2.62M","-0.75%"
"07/26/2023","6,605","6,704","6,753","6,556","10.91M","0.75%"
"07/25/2023","6,556","6,556","6,704","6,531","10.09M","1.14%"
"07/24/2023","6,482","6,507","6,556","6,457","3.20M","-0.38%"
"07/21/2023","6,507","6,457","6,531","6,383","5.52M","0.76%"
"07/20/2023","6,457","6,408","6,507","6,383","6.07M","1.95%"
"07/18/2023","6,334","6,310","6,334","6,285","3.94M","0.39%"
"07/17/2023","6,310","6,310","6,359","6,285","3.96M","0.39%"
"07/14/2023","6,285","6,383","6,383","6,285","5.00M","-1.54%"
"07/13/2023","6,383","6,383","6,433","6,310","5.41M","1.17%"
"07/12/2023","6,310","6,359","6,383","6,285","3.21M","-0.78%"
"07/11/2023","6,359","6,260","6,383","6,211","8.63M","2.38%"
"07/10/2023","6,211","6,186","6,285","6,186","2.13M","-0.40%"
"07/07/2023","6,236","6,236","6,260","6,211","5.20M","-0.39%"
"07/06/2023","6,260","6,310","6,334","6,236","5.02M","0.40%"
"07/05/2023","6,236","6,162","6,334","6,137","8.76M","1.20%"
"07/04/2023","6,162","6,186","6,236","6,137","3.19M","-0.40%"
"07/03/2023","6,186","6,211","6,285","6,162","3.57M","-0.40%"
"06/27/2023","6,211","6,211","6,285","6,112","4.84M","0.00%"
"06/26/2023","6,211","6,211","6,260","6,186","3.56M","0.00%"
"06/23/2023","6,211","6,260","6,310","6,211","4.79M","-0.79%"
"06/22/2023","6,260","6,334","6,383","6,260","3.13M","-1.17%"
"06/21/2023","6,334","6,383","6,408","6,310","2.37M","-0.77%"
"06/20/2023","6,383","6,408","6,408","6,310","2.10M","-0.38%"
"06/19/2023","6,408","6,408","6,482","6,383","2.20M","-1.52%"
"06/16/2023","6,507","6,556","6,556","6,433","7.72M","0.00%"
"06/15/2023","6,507","6,482","6,556","6,433","8.71M","1.15%"
"06/14/2023","6,433","6,482","6,531","6,408","10.73M","1.16%"
"06/13/2023","6,359","6,285","6,383","6,211","7.18M","0.78%"
"06/12/2023","6,310","6,260","6,310","6,211","4.25M","0.79%"
"06/09/2023","6,260","6,433","6,433","6,260","5.16M","-1.93%"
"06/08/2023","6,383","6,581","6,581","6,359","3.90M","-1.89%"
"06/07/2023","6,507","6,556","6,630","6,457","6.78M","0.00%"
"06/06/2023","6,507","6,507","6,605","6,408","5.49M","0.00%"
"06/05/2023","6,507","6,211","6,556","6,186","7.42M","4.76%"
"05/31/2023","6,211","6,433","6,482","6,211","11.79M","-3.45%"
"05/30/2023","6,433","6,359","6,507","6,310","4.22M","1.16%"
"05/29/2023","6,359","6,507","6,507","6,260","6.27M","-1.90%"
"05/26/2023","6,482","6,457","6,531","6,408","5.49M","0.38%"
"05/25/2023","6,457","6,531","6,556","6,408","6.46M","-1.13%"
"05/24/2023","6,531","6,359","6,531","6,310","4.81M","2.71%"
"05/23/2023","6,359","6,236","6,433","6,236","5.42M","1.98%"
"05/22/2023","6,236","6,408","6,408","6,236","3.81M","-1.17%"
"05/19/2023","6,310","6,408","6,408","6,260","12.56M","-1.54%"
"05/17/2023","6,408","6,359","6,408","6,236","9.21M","0.39%"
"05/16/2023","6,383","6,507","6,556","6,310","12.60M","-3.36%"
"05/15/2023","6,605","6,605","6,679","6,507","5.27M","0.00%"
"05/12/2023","6,605","6,778","6,778","6,605","6.56M","-2.90%"
